Time,Z,X,Y
4.76,15.082625,6.205279,-0.584914
4.77,15.087639,6.214332,-0.596304
4.78,15.076663,6.199132,-0.587526
4.79,15.077975,6.197824,-0.582974
4.8,15.082079,6.205939,-0.580377
4.81,15.081753,6.21003,-0.581289
4.82,15.084137,6.204626,-0.584638
4.83,15.081481,6.203563,-0.578437
4.84,15.078588,6.204885,-0.578782
4.85,15.084293,6.207174,-0.583402
4.86,15.088229,6.208137,-0.582169
4.87,15.092623,6.21173,-0.581015
4.88,15.091108,6.21365,-0.578279
4.89,15.087731,6.209595,-0.581315
4.9,15.096887,6.229988,-0.590158
4.91,15.088646,6.207883,-0.57882
4.92,15.085345,6.212252,-0.575144
4.93,15.087618,6.211299,-0.581327
4.94,15.091808,6.205415,-0.583658
4.95,15.087524,6.210159,-0.575863
4.96,15.081903,6.205951,-0.578338
4.97,15.084476,6.202214,-0.581826
4.98,15.085537,6.208741,-0.581731
4.99,15.08357,6.209393,-0.577632
5,15.082586,6.210955,-0.578055
5.01,15.085194,6.22891,-0.59489
5.02,15.092618,6.220246,-0.594826
5.03,15.083344,6.203033,-0.584115
5.04,15.08588,6.199673,-0.585707
5.05,15.082911,6.20735,-0.585013
5.06,15.082206,6.204206,-0.583133
5.07,15.081656,6.20985,-0.579912
5.08,15.082433,6.20937,-0.587539
5.09,15.083111,6.202054,-0.58325
5.1,15.085979,6.202856,-0.581243
5.11,15.084844,6.208926,-0.580936
5.12,15.083518,6.205624,-0.580669
5.13,15.087055,6.210486,-0.576903
5.14,15.088933,6.214193,-0.578925
5.15,15.088993,6.216173,-0.572618
5.16,15.087781,6.203362,-0.577729
5.17,15.085499,6.198744,-0.578701
5.18,15.080463,6.198344,-0.577871
5.19,15.086131,6.202739,-0.575103
5.2,15.08886,6.200187,-0.576503
5.21,15.085243,6.202941,-0.582381
5.22,15.084332,6.197491,-0.582373
5.23,15.084943,6.204261,-0.576184
5.24,15.076996,6.185927,-0.596815
5.25,15.084183,6.208658,-0.575414
5.26,15.086001,6.206763,-0.575132
5.27,15.07983,6.206918,-0.577448
5.28,15.077426,6.209785,-0.583834
5.29,15.078389,6.214839,-0.582686
5.3,15.076069,6.190533,-0.594138
5.31,15.08678,6.206363,-0.585979
5.32,15.080463,6.203746,-0.579446
5.33,15.081379,6.202627,-0.581039
5.34,15.080597,6.201701,-0.58305
5.35,15.082543,6.206768,-0.583985
5.36,15.082608,6.208721,-0.580417
5.37,15.083544,6.207103,-0.582189
5.38,15.084617,6.20479,-0.584732
5.39,15.084062,6.206085,-0.581444
5.4,15.086782,6.208115,-0.582131
5.41,15.08818,6.213377,-0.580442
5.42,15.08798,6.205986,-0.57815
5.43,15.087056,6.209719,-0.576118
5.44,15.082247,6.20929,-0.58241
5.45,15.084248,6.218265,-0.57926
5.46,15.085634,6.205945,-0.574088
