%time,field.accel_x,field.accel_y,field.accel_z,field.gyro_x,field.gyro_y,field.gyro_z,field.state,field.swing_time
1677616127286082200,0.79443359375,-0.160888671875,-0.827392578125,-0.06870229007633588,-0.29770992366412213,-0.06870229007633588,0.0,1677303940.100273
1677616127286085400,0.79052734375,-0.185791015625,-0.8173828125,-0.07633587786259542,-0.2748091603053435,-0.0916030534351145,0.0,1677303940.1112251
1677616127286088700,0.805908203125,-0.174072265625,-0.81298828125,-0.12213740458015267,-0.2824427480916031,-0.061068702290076333,0.0,1677303940.1203744
1677616127332763900,0.779296875,-0.177978515625,-0.814208984375,-0.04580152671755725,-0.2824427480916031,-0.061068702290076333,0.0,1677303940.1303012
1677616127332791200,0.786376953125,-0.17431640625,-0.821044921875,-0.1297709923664122,-0.3053435114503817,-0.09923664122137404,0.0,1677303940.1398308
1677616127332796100,0.784423828125,-0.16259765625,-0.83154296875,-0.0916030534351145,-0.2900763358778626,-0.12213740458015267,0.0,1677303940.1498225
1677616127332803500,0.79052734375,-0.16943359375,-0.8212890625,-0.06870229007633588,-0.2748091603053435,-0.07633587786259542,0.0,1677303940.1598094
1677616127395264900,0.79931640625,-0.1708984375,-0.81103515625,-0.08396946564885496,-0.26717557251908397,-0.06870229007633588,0.0,1677303940.1698816
1677616127395301900,0.800048828125,-0.17578125,-0.818359375,-0.0916030534351145,-0.2900763358778626,-0.12213740458015267,0.0,1677303940.1794028
1677616127395306400,0.787841796875,-0.16259765625,-0.826171875,-0.12213740458015267,-0.3053435114503817,-0.1297709923664122,0.0,1677303940.1896648
1677616127395310400,0.785400390625,-0.1552734375,-0.822021484375,-0.07633587786259542,-0.2900763358778626,-0.06870229007633588,0.0,1677303940.199417
1677616127395313900,0.788330078125,-0.1689453125,-0.82958984375,-0.061068702290076333,-0.29770992366412213,-0.05343511450381679,0.0,1677303940.2103786
1677616127395317500,0.793212890625,-0.1689453125,-0.811767578125,-0.06870229007633588,-0.2900763358778626,-0.09923664122137404,0.0,1677303940.2194295
1677616127456403500,0.79638671875,-0.164794921875,-0.82568359375,-0.08396946564885496,-0.2748091603053435,-0.08396946564885496,0.0,1677303940.2309887
1677616127456431000,0.793701171875,-0.166748046875,-0.818115234375,-0.10687022900763359,-0.2900763358778626,-0.06870229007633588,0.0,1677303940.2400005
1677616127456434900,0.786376953125,-0.1708984375,-0.81982421875,-0.09923664122137404,-0.29770992366412213,-0.11450381679389313,0.0,1677303940.2499597
1677616127456440600,0.78564453125,-0.173828125,-0.831787109375,-0.08396946564885496,-0.2748091603053435,-0.11450381679389313,0.0,1677303940.2611117
1677616127456444200,0.78857421875,-0.168701171875,-0.830078125,-0.08396946564885496,-0.2900763358778626,-0.09923664122137404,0.0,1677303940.2704318
1677616127456447900,0.792236328125,-0.166748046875,-0.819091796875,-0.07633587786259542,-0.3053435114503817,-0.07633587786259542,0.0,1677303940.2802753
1677616127456515600,0.79736328125,-0.16845703125,-0.822998046875,-0.0916030534351145,-0.2900763358778626,-0.10687022900763359,0.0,1677303940.290021
1677616127524531600,0.796875,-0.16650390625,-0.81640625,-0.11450381679389313,-0.31297709923664124,-0.09923664122137404,0.0,1677303940.2998326
