%time,field.mx,field.my,field.fz,field.t,,time dif
1.67694E+18,34,103,121.52,1676941261,3.820970058,0.000339985
1.67694E+18,3,95,101.92,1676941261,3.857389927,0.036419868
1.67694E+18,12,80,101.92,1676941261,3.857709885,0.000319958
1.67694E+18,36,61,123.48,1676941261,3.858119965,0.00041008
1.67694E+18,61,49,137.2,1676941261,3.858360052,0.000240088
1.67694E+18,92,46,148.96,1676941261,3.906149864,0.047789812
1.67694E+18,119,48,162.68,1676941261,3.906499863,0.000349998
1.67694E+18,134,52,168.56,1676941261,3.90673995,0.000240088
1.67694E+18,145,56,166.6,1676941261,3.906990051,0.000250101
1.67694E+18,182,52,168.56,1676941261,3.954370022,0.047379971
1.67694E+18,220,52,184.24,1676941261,3.954859972,0.00048995
1.67694E+18,229,57,180.32,1676941261,3.955280066,0.000420094
1.67694E+18,217,68,168.56,1676941261,3.955509901,0.000229836
1.67694E+18,194,84,141.12,1676941261,4.052459955,0.096950054
1.67694E+18,173,104,105.84,1676941261,4.052779913,0.000319958
1.67694E+18,151,115,82.32,1676941261,4.052999973,0.00022006
1.67694E+18,126,118,47.04,1676941261,4.053339958,0.000339985
1.67694E+18,111,116,13.72,1676941261,4.053560019,0.00022006
1.67694E+18,92,117,-17.64,1676941261,4.053760052,0.000200033
1.67694E+18,70,115,-45.08,1676941261,4.101180077,0.047420025
1.67694E+18,47,109,-80.36,1676941261,4.101490021,0.000309944
1.67694E+18,26,110,-99.96,1676941261,4.101709843,0.000219822
1.67694E+18,10,102,-117.6,1676941261,4.101929903,0.00022006
1.67694E+18,-2,91,-137.2,1676941261,4.102129936,0.000200033
1.67694E+18,-14,69,-145.04,1676941261,4.150320053,0.048190117
1.67694E+18,-23,42,-154.84,1676941261,4.150640011,0.000319958
1.67694E+18,-21,15,-160.72,1676941261,4.150869846,0.000229836
1.67694E+18,-15,11,-162.68,1676941261,4.151079893,0.000210047
1.67694E+18,-18,7,-156.8,1676941261,4.198679924,0.047600031
1.67694E+18,-46,-31,-160.72,1676941261,4.199039936,0.000360012
1.67694E+18,-21,-19,-156.8,1676941261,4.19927001,0.000230074
1.67694E+18,-4,10,-158.76,1676941261,4.199509859,0.000239849
1.67694E+18,12,0,-152.88,1676941261,4.246890068,0.047380209
1.67694E+18,0,17,-154.84,1676941261,4.247220039,0.000329971
1.67694E+18,-12,21,-154.84,1676941261,4.247529984,0.000309944
1.67694E+18,-9,23,-158.76,1676941261,4.247799873,0.00026989
1.67694E+18,-9,24,-156.8,1676941262,4.296239853,0.04843998
1.67694E+18,-10,25,-152.88,1676941262,4.296599865,0.000360012
1.67694E+18,-13,22,-150.92,1676941262,4.296829939,0.000230074
1.67694E+18,-11,22,-156.8,1676941262,4.29715991,0.000329971
1.67694E+18,-9,22,-150.92,1676941262,4.297369957,0.000210047
1.67694E+18,-11,19,-147,1676941262,4.297600031,0.000230074
1.67694E+18,-12,17,-150.92,1676941262,4.345099926,0.047499895
1.67694E+18,-12,16,-148.96,1676941262,4.345439911,0.000339985
1.67694E+18,-8,18,-148.96,1676941262,4.345700026,0.000260115
1.67694E+18,-10,14,-145.04,1676941262,4.346029997,0.000329971
1.67694E+18,-11,12,-147,1676941262,4.34627986,0.000249863
1.67694E+18,-9,11,-143.08,1676941262,4.394599915,0.048320055
1.67694E+18,-9,9,-143.08,1676941262,4.395050049,0.000450134
1.67694E+18,-9,10,-148.96,1676941262,4.39542985,0.000379801
1.67694E+18,-8,11,-147,1676941262,4.395689964,0.000260115
1.67694E+18,-8,9,-141.12,1676941262,4.442489862,0.046799898
1.67694E+18,-11,6,-141.12,1676941262,4.442800045,0.000310183
1.67694E+18,-11,7,-145.04,1676941262,4.443029881,0.000229836
1.67694E+18,-12,8,-147,1676941262,4.443239927,0.000210047
1.67694E+18,-11,8,-147,1676941262,4.490659952,0.047420025
1.67694E+18,-11,7,-139.16,1676941262,4.490969896,0.000309944
1.67694E+18,-15,6,-141.12,1676941262,4.491219997,0.000250101
1.67694E+18,-11,8,-139.16,1676941262,4.491430044,0.000210047
1.67694E+18,-15,6,-143.08,1676941262,4.540250063,0.048820019
1.67694E+18,-13,8,-145.04,1676941262,4.540560007,0.000309944
1.67694E+18,-12,8,-147,1676941262,4.540789843,0.000229836
1.67694E+18,-14,7,-141.12,1676941262,4.540999889,0.000210047
1.67694E+18,-13,9,-147,1676941262,4.541199923,0.000200033
1.67694E+18,-11,10,-143.08,1676941262,4.541399956,0.000200033
1.67694E+18,-10,8,-141.12,1676941262,4.588609934,0.047209978
1.67694E+18,-12,7,-143.08,1676941262,4.588969946,0.000360012
1.67694E+18,-10,7,-143.08,1676941262,4.637439966,0.04847002
1.67694E+18,-11,7,-148.96,1676941262,4.637789965,0.000349998
1.67694E+18,-7,9,-143.08,1676941262,4.638069868,0.000279903
1.67694E+18,-11,5,-143.08,1676941262,4.638249874,0.000180006
1.67694E+18,-9,6,-145.04,1676941262,4.638900042,0.000650167
1.67694E+18,-10,5,-145.04,1676941262,4.639240026,0.000339985
1.67694E+18,-7,7,-150.92,1676941262,4.686209917,0.046969891
1.67694E+18,-7,5,-145.04,1676941262,4.686569929,0.000360012
1.67694E+18,-11,3,-145.04,1676941262,4.686850071,0.000280142
1.67694E+18,-11,3,-150.92,1676941262,4.68708992,0.000239849
1.67694E+18,-9,5,-150.92,1676941262,4.687299967,0.000210047
1.67694E+18,-11,2,-148.96,1676941262,4.687530041,0.000230074
1.67694E+18,-14,1,-150.92,1676941262,4.731449842,0.043919802
1.67694E+18,-13,1,-154.84,1676941262,4.732009888,0.000560045
1.67694E+18,-10,2,-154.84,1676941262,4.73229003,0.000280142
1.67694E+18,-11,1,-150.92,1676941262,4.732670069,0.000380039
1.67694E+18,-7,3,-148.96,1676941262,4.783760071,0.051090002
1.67694E+18,-9,1,-147,1676941262,4.784139872,0.000379801
1.67694E+18,-18,-31,-123.48,1676941262,4.784420013,0.000280142
1.67694E+18,49,-9,-94.08,1676941262,4.785009861,0.000589848
1.67694E+18,66,57,-90.16,1676941262,4.785409927,0.000400066
1.67694E+18,135,42,-11.76,1676941262,4.785809994,0.000400066
1.67694E+18,202,104,43.12,1676941262,4.832370043,0.046560049
1.67694E+18,242,138,101.92,1676941262,4.832740068,0.000370026
1.67694E+18,251,170,156.8,1676941262,4.833019972,0.000279903
1.67694E+18,208,188,162.68,1676941262,4.833410025,0.000390053
1.67694E+18,147,184,147,1676941262,4.833729982,0.000319958
1.67694E+18,99,164,129.36,1676941262,4.934900045,0.101170063
1.67694E+18,35,146,107.8,1676941262,4.935719967,0.000819921
1.67694E+18,-7,131,80.36,1676941262,4.941789865,0.006069899
1.67694E+18,-16,116,68.6,1676941262,4.942409992,0.000620127
1.67694E+18,9,100,66.64,1676941262,4.943019867,0.000609875
1.67694E+18,36,84,76.44,1676941262,4.943589926,0.000570059
1.67694E+18,62,68,82.32,1676941262,4.978549957,0.034960032
1.67694E+18,91,62,84.28,1676941262,4.979140043,0.000590086
1.67694E+18,107,69,88.2,1676941262,4.979549885,0.000409842
1.67694E+18,123,71,84.28,1676941262,4.979909897,0.000360012
1.67694E+18,190,53,96.04,1676941262,4.98142004,0.001510143
1.67694E+18,199,49,105.84,1676941262,4.981819868,0.000399828
1.67694E+18,192,43,105.84,1676941262,5.037549973,0.055730104
1.67694E+18,184,50,96.04,1676941262,5.038150072,0.0006001
1.67694E+18,175,67,80.36,1676941262,5.038660049,0.000509977
1.67694E+18,160,85,72.52,1676941262,5.039139986,0.000479937
1.67694E+18,146,103,60.76,1676941262,5.076089859,0.036949873
1.67694E+18,132,115,47.04,1676941262,5.076639891,0.000550032
1.67694E+18,118,123,31.36,1676941262,5.077059984,0.000420094
1.67694E+18,106,128,11.76,1676941262,5.077460051,0.000400066
1.67694E+18,91,137,-9.8,1676941262,5.124409914,0.046949863
1.67694E+18,79,146,-29.4,1676941262,5.124979973,0.000570059
1.67694E+18,50,160,-80.36,1676941262,5.125390053,0.00041008
1.67694E+18,45,160,-86.24,1676941262,5.12575984,0.000369787
1.67694E+18,41,155,-98,1676941262,5.222259998,0.096500158
1.67694E+18,38,139,-105.84,1676941262,5.22281003,0.000550032
1.67694E+18,28,115,-105.84,1676941262,5.223309994,0.000499964
1.67694E+18,19,91,-117.6,1676941262,5.22371006,0.000400066
1.67694E+18,11,67,-121.52,1676941262,5.224089861,0.000379801
