%time,field.mx,field.my,field.fz,field.t,%time,field.accel_x,field.accel_y,field.accel_z,field.gyro_x,field.gyro_y,field.gyro_z,field.state,field.swing_time
,,,,,1676941275332846400,-0.956298828125,0.05078125,-0.221923828125,-0.183206106870229,-0.2900763358778626,-0.1374045801526717,0.0,1676941274.4754755
,,,,,1676941275465716900,-0.961181640625,0.061767578125,-0.243896484375,-0.1679389312977099,-0.3053435114503817,-0.1603053435114503,0.0,1676941274.4905045
,,,,,1676941275465750000,-0.963623046875,0.049072265625,-0.219482421875,-0.1603053435114503,-0.2900763358778626,-0.1297709923664122,0.0,1676941274.505654
,,,,,1676941275465776200,-0.96728515625,0.04443359375,-0.226806640625,-0.1755725190839694,-0.2977099236641221,-0.0916030534351145,0.0,1676941274.5206606
,,,,,1676941275465791700,-0.98046875,0.04296875,-0.222412109375,-0.1755725190839694,-0.2748091603053435,-0.0610687022900763,0.0,1676941274.53528
,,,,,1676941275465800600,-0.96142578125,0.062255859375,-0.223876953125,-0.0839694656488549,-0.2748091603053435,-0.0381679389312977,0.0,1676941274.5500536
,,,,,1676941275465882800,-0.968017578125,0.046142578125,-0.229248046875,-0.0916030534351145,-0.2824427480916031,1.938931297709924,0.0,1676941274.5646844
,,,,,1676941275465894100,-0.964599609375,0.03955078125,-0.222900390625,-0.0763358778625954,-0.2595419847328244,0.0,0.0,1676941274.579414
,,,,,1676941275465939000,-0.958984375,0.043212890625,-0.230712890625,-0.099236641221374,-0.2900763358778626,0.0687022900763358,0.0,1676941274.593962
,,,,,1676941275465976400,-0.959716796875,0.055419921875,-0.23046875,-0.0839694656488549,-0.2519083969465648,0.0610687022900763,0.0,1676941274.6087072
,,,,,1676941275634749100,-0.962646484375,0.058349609375,-0.2294921875,-0.0916030534351145,-0.2595419847328244,0.0381679389312977,0.0,1676941274.6235578
,,,,,1676941275634760400,-0.95556640625,0.0478515625,-0.232421875,-0.0916030534351145,-0.2519083969465648,0.0229007633587786,0.0,1676941274.6460085
,,,,,1676941275634789900,-0.961669921875,0.073974609375,-0.234375,-0.1526717557251908,-0.2595419847328244,0.0076335877862595,0.0,1676941274.6606977
,,,,,1676941275634815300,-0.958251953125,0.06005859375,-0.22998046875,-0.1526717557251908,-0.2442748091603053,-0.0381679389312977,0.0,1676941274.6753929
,,,,,1676941275634842000,-0.95703125,0.063232421875,-0.227783203125,-0.1374045801526717,-0.2366412213740458,-0.0839694656488549,0.0,1676941274.698983
,,,,,1676941275634853800,-0.95947265625,0.05810546875,-0.243408203125,-0.1450381679389313,-0.2671755725190839,-0.1068702290076335,0.0,1676941274.713862
,,,,,1676941275634908600,-0.9599609375,0.0556640625,-0.2470703125,-0.1755725190839694,-0.2824427480916031,-0.099236641221374,0.0,1676941274.7372785
,,,,,1676941275634924800,-0.95361328125,0.056884765625,-0.23095703125,-0.1374045801526717,-0.2519083969465648,-0.1145038167938931,0.0,1676941274.7517684
,,,,,1676941275635018300,-0.967529296875,0.061279296875,-0.230224609375,-0.1374045801526717,-0.2595419847328244,-0.0610687022900763,0.0,1676941274.766661
,,,,,1676941275805055900,-0.966796875,0.049560546875,-0.234619140625,-0.1297709923664122,-0.3206106870229007,-0.0534351145038167,0.0,1676941274.782932
,,,,,1676941275805076700,-0.963623046875,0.060546875,-0.249755859375,-0.1297709923664122,-0.2900763358778626,-0.0381679389312977,0.0,1676941274.7980535
,,,,,1676941275805095100,-0.953369140625,0.05224609375,-0.226806640625,-0.1526717557251908,-0.2977099236641221,-0.0458015267175572,0.0,1676941274.8127034
,,,,,1676941275805103900,-0.960205078125,0.0478515625,-0.2197265625,-0.1068702290076335,-0.2824427480916031,-0.0305343511450381,0.0,1676941274.8276248
,,,,,1676941275805125600,-0.962890625,0.05322265625,-0.223876953125,-0.099236641221374,-0.2671755725190839,-0.0381679389312977,0.0,1676941274.842676
,,,,,1676941275805154200,-0.963134765625,0.03564453125,-0.241455078125,-0.1374045801526717,-0.2748091603053435,-0.0305343511450381,0.0,1676941274.8572652
,,,,,1676941275805166600,-0.959716796875,0.06201171875,-0.235107421875,-0.1297709923664122,-0.2977099236641221,-0.015267175572519,0.0,1676941274.8718295
,,,,,1676941275805289800,-0.963623046875,0.06005859375,-0.21923828125,-0.1679389312977099,-0.2824427480916031,-0.0305343511450381,0.0,1676941274.8864992
,,,,,1676941275805310800,-0.962158203125,0.058837890625,-0.248779296875,-0.1450381679389313,-0.2977099236641221,-0.0458015267175572,0.0,1676941274.901033
,,,,,1676941275805319800,-0.960693359375,0.05859375,-0.219970703125,-0.1374045801526717,-0.3053435114503817,-0.0381679389312977,0.0,1676941274.9156542
,,,,,1676941275805328700,-0.95947265625,0.056884765625,-0.23291015625,-0.1068702290076335,-0.2824427480916031,-0.0534351145038167,0.0,1676941274.9304364
,,,,,1676941275805334800,-0.96435546875,0.05322265625,-0.22705078125,-0.1221374045801526,-0.2748091603053435,-0.0305343511450381,0.0,1676941274.9455378
,,,,,1676941275973058700,-0.957275390625,0.0556640625,-0.232421875,-0.1450381679389313,-0.2977099236641221,-0.0458015267175572,0.0,1676941274.9622524
,,,,,1676941275973096900,-0.96044921875,0.05615234375,-0.239013671875,-0.1450381679389313,-0.3053435114503817,-0.0305343511450381,0.0,1676941274.9769652
,,,,,1676941275973117000,-0.961669921875,0.0537109375,-0.239990234375,-0.1221374045801526,-0.2900763358778626,-0.0229007633587786,0.0,1676941274.9918587
,,,,,1676941275973172800,-0.960693359375,0.05419921875,-0.231689453125,-0.1526717557251908,-0.2824427480916031,-0.0229007633587786,0.0,1676941275.0064223
,,,,,1676941275973209400,-0.9658203125,0.0537109375,-0.230712890625,-0.1374045801526717,-0.2824427480916031,-0.0229007633587786,0.0,1676941275.0211256
