time,index,ankle_angle,ankle_angle,ankle_angle,imu_ang_vel,imu_ang_vel,imu_ang_vel
12-58-07-586150,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-596221,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-606628,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-617659,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-627624,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-635626,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-645628,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-655625,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-667622,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-675629,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-686135,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-696140,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-706142,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-717141,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-726142,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-737140,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-746179,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-757141,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-767140,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-776147,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-786650,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-795654,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-805657,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-816655,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-825655,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-835656,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-846656,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-855657,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-866656,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-875660,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-886165,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-896173,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-906174,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-916174,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-927174,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-937174,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-947171,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-957174,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-967170,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-976253,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-986795,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-995836,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-08-006801,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-08-016802,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-08-026801,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-08-035804,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-08-046802,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-08-056801,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-08-066802,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-08-075807,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-08-086322,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-08-097329,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-08-106331,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-08-117329,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-08-126329,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-08-137328,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-08-146330,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-08-157328,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-08-166328,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-08-176336,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-08-187847,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-08-196849,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-08-206849,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-08-216849,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-08-225849,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-08-236847,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-08-245848,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-08-256847,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-08-265849,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-08-275852,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-08-286359,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-08-296363,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-08-306363,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-08-316363,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
