time,index,ankle_angle,ankle_angle,ankle_angle,imu_ang_vel,imu_ang_vel,imu_ang_vel
13-37-04-933263,8.1 0,[0.],[0.],[0.],[0.],3.0,-6.0,-170.52
13-37-04-943262,8.1 0,[0.],[0.],[0.],[0.],3.0,-6.0,-170.52
13-37-04-953262,8.1 0,[0.],[0.],[0.],[0.],3.0,-6.0,-170.52
13-37-04-962267,8.1 0,[0.],[0.],[0.],[0.],3.0,-6.0,-170.52
13-37-04-973261,8.1 0,[0.],[0.],[0.],[0.],3.0,-6.0,-170.52
13-37-04-982263,8.1 0,[0.],[0.],[0.],[0.],3.0,-6.0,-170.52
13-37-04-992266,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-05-003263,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-05-013276,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-05-022782,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-05-031783,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-05-041783,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-05-051786,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-05-062786,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-05-071786,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-05-082783,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-05-092783,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-05-102782,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-05-112789,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-170.52
13-37-05-121790,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-170.52
13-37-05-132306,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-170.52
13-37-05-142305,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-170.52
13-37-05-153305,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-170.52
13-37-05-163304,8.1 0,[0.],[0.],[0.],[0.],2.0,-5.0,-170.52
13-37-05-172343,8.1 0,[0.],[0.],[0.],[0.],2.0,-5.0,-170.52
13-37-05-183305,8.1 0,[0.],[0.],[0.],[0.],2.0,-5.0,-170.52
13-37-05-192307,8.1 0,[0.],[0.],[0.],[0.],2.0,-5.0,-170.52
13-37-05-202342,8.1 0,[0.],[0.],[0.],[0.],2.0,-5.0,-170.52
13-37-05-213314,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-170.52
13-37-05-223839,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-170.52
13-37-05-231873,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-170.52
13-37-05-243834,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-170.52
13-37-05-251835,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-05-261872,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-05-272835,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-05-282834,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-05-292834,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-05-301835,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-05-311848,8.1 0,[0.],[0.],[0.],[0.],2.0,-5.0,-170.52
13-37-05-321879,8.1 0,[0.],[0.],[0.],[0.],2.0,-5.0,-170.52
13-37-05-332467,8.1 0,[0.],[0.],[0.],[0.],2.0,-5.0,-170.52
13-37-05-342465,8.1 0,[0.],[0.],[0.],[0.],2.0,-5.0,-170.52
13-37-05-353465,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-05-363464,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-05-372464,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-05-383466,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-05-392470,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-05-403464,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-05-412509,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-170.52
13-37-05-423057,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-170.52
13-37-05-432093,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-170.52
13-37-05-443058,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-170.52
13-37-05-453060,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-170.52
13-37-05-464058,8.1 0,[0.],[0.],[0.],[0.],3.0,-6.0,-170.52
13-37-05-474055,8.1 0,[0.],[0.],[0.],[0.],3.0,-6.0,-170.52
13-37-05-482614,8.1 0,[0.],[0.],[0.],[0.],3.0,-6.0,-170.52
13-37-05-492577,8.1 0,[0.],[0.],[0.],[0.],3.0,-6.0,-170.52
13-37-05-503578,8.1 0,[0.],[0.],[0.],[0.],3.0,-6.0,-170.52
13-37-05-512591,8.1 0,[0.],[0.],[0.],[0.],3.0,-6.0,-170.52
13-37-05-523178,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-170.52
13-37-05-532175,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-170.52
13-37-05-542176,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-170.52
13-37-05-552177,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-170.52
13-37-05-563174,8.1 0,[0.],[0.],[0.],[0.],3.0,-6.0,-170.52
13-37-05-572176,8.1 0,[0.],[0.],[0.],[0.],3.0,-6.0,-170.52
13-37-05-582177,8.1 0,[0.],[0.],[0.],[0.],3.0,-6.0,-170.52
13-37-05-592143,8.1 0,[0.],[0.],[0.],[0.],3.0,-6.0,-170.52
13-37-05-602179,8.1 0,[0.],[0.],[0.],[0.],3.0,-6.0,-170.52
