%time,field.curr_pos1,field.curr_pos2,field.toff,field.t
1683143892663326000,4543,-2971,-2409,43892.20703125
1683143892663337700,4542,-2971,-1181,43892.21875
1683143892663393300,4543,-2971,-1533,43892.23046875
1683143892663754900,4542,-2971,-881,43892.23828125
1683143892663947700,4542,-2971,2202,43892.24609375
1683143892664105700,4542,-2971,-877,43892.26171875
1683143892664273800,4542,-2971,2425,43892.265625
1683143892723514100,4543,-2971,778,43892.27734375
1683143892723635000,4554,-2975,1402,43892.28515625
1683143892723649200,4563,-2985,842,43892.296875
1683143892723752900,4572,-2994,-21,43892.30859375
1683143892723795200,4580,-3003,-1933,43892.31640625
1683143892723987400,4593,-3016,374,43892.328125
1683143892770615600,4606,-3029,482,43892.3359375
1683143892770666300,4615,-3039,394,43892.34765625
1683143892770772600,4620,-3045,-1085,43892.35546875
1683143892770899200,4620,-3047,366,43892.3671875
1683143892771246500,4619,-3046,-1069,43892.37890625
1683143892818150400,4618,-3047,-1837,43892.38671875
1683143892818205600,4618,-3046,1794,43892.3984375
1683143892818229600,4617,-3045,1058,43892.40625
1683143892818237200,4615,-3046,1950,43892.41796875
1683143892818534900,4615,-3046,30,43892.42578125
1683143892881313300,4615,-3045,358,43892.4375
1683143892881423800,4614,-3043,-1753,43892.44921875
1683143892881430400,4613,-3042,1406,43892.45703125
1683143892881448000,4612,-3043,390,43892.46875
1683143892881602400,4613,-3042,-589,43892.48046875
1683143892881906600,4613,-3042,-1233,43892.48828125
1683143892941587600,4612,-3042,1494,43892.49609375
1683143892941714500,4613,-3042,-1333,43892.5078125
1683143892941744500,4612,-3042,-1925,43892.515625
1683143892941835600,4612,-3042,1710,43892.52734375
1683143892941919300,4612,-3042,-777,43892.5390625
1683143893007605400,4612,-3042,1142,43892.55078125
1683143893007631000,4612,-3042,-637,43892.55859375
1683143893007667400,4612,-3042,-417,43892.56640625
1683143893007699600,4612,-3042,-1117,43892.578125
1683143893008008100,4612,-3042,2030,43892.5859375
1683143893008412800,4612,-3042,-1313,43892.59765625
1683143893008703500,4612,-3041,-2349,43892.60546875
1683143893008849700,4612,-3041,1178,43892.6171875
1683143893066373300,4612,-3041,-1233,43892.62890625
1683143893066417800,4612,-3041,-1801,43892.63671875
1683143893066454200,4612,-3041,1938,43892.6484375
1683143893066467500,4612,-3041,2158,43892.65625
1683143893066513500,4612,-3041,-1129,43892.66796875
1683143893066526400,4612,-3041,1678,43892.67578125
1683143893130691500,4612,-3041,2034,43892.6875
1683143893130804200,4612,-3041,-209,43892.6953125
1683143893130858000,4612,-3041,-2081,43892.70703125
1683143893130918500,4612,-3041,-765,43892.71875
1683143893130971100,4612,-3041,-2281,43892.7265625
1683143893131304400,4612,-3041,-2333,43892.73828125
1683143893221474900,4612,-3041,-1197,43892.74609375
1683143893221527500,4612,-3041,462,43892.7578125
1683143893221545000,4612,-3041,626,43892.765625
1683143893221871500,4612,-3041,202,43892.77734375
1683143893222028300,4612,-3041,2250,43892.78515625
1683143893222170300,4612,-3041,2446,43892.796875
1683143893222320900,4612,-3041,482,43892.80859375
1683143893222436900,4612,-3041,-77,43892.81640625
1683143893222759500,4612,-3041,-1605,43892.828125
1683143893289219300,4612,-3042,-753,43892.8359375
