%time,field.curr_pos1,field.curr_pos2,field.toff,field.t
1683145638645064500,1930,-1470,230,45638.19921875
1683145638690244700,1930,-1470,226,45638.2109375
1683145638690282300,1930,-1470,-621,45638.21875
1683145638690306400,1930,-1470,662,45638.23046875
1683145638690329500,1930,-1470,-553,45638.23828125
1683145638690537800,1930,-1470,158,45638.25
1683145638738762100,1930,-1470,126,45638.26171875
1683145638738812600,1930,-1470,35,45638.26953125
1683145638738844000,1930,-1470,-101,45638.28125
1683145638739112500,1930,-1470,-25,45638.2890625
1683145638802219200,1930,-1470,-45,45638.30078125
1683145638802244000,1930,-1470,-209,45638.30859375
1683145638802272300,1930,-1470,-501,45638.3203125
1683145638802402600,1930,-1470,322,45638.33203125
1683145638802694200,1930,-1470,-297,45638.33984375
1683145638848747600,1930,-1470,-109,45638.3515625
1683145638848792700,1930,-1470,-253,45638.359375
1683145638848833400,1930,-1470,43,45638.37109375
1683145638848960700,1930,-1470,-225,45638.37890625
1683145638849009500,1930,-1470,118,45638.390625
1683145638849423700,1930,-1470,-253,45638.3984375
1683145638894559000,1930,-1470,322,45638.41015625
1683145638894609500,1930,-1470,130,45638.421875
1683145638894799300,1930,-1470,158,45638.4296875
1683145638894827400,1930,-1470,-305,45638.44140625
1683145638895163100,1930,-1470,214,45638.44921875
1683145638941370900,1930,-1470,-105,45638.4609375
1683145638941414900,1930,-1470,-105,45638.46875
1683145638941428600,1930,-1470,134,45638.48046875
1683145638941471800,1930,-1470,226,45638.48828125
1683145638941873100,1930,-1470,-549,45638.5
1683145638990249600,1930,-1470,730,45638.51171875
1683145638990306600,1930,-1470,-37,45638.51953125
1683145638990492800,1930,-1470,-129,45638.53125
1683145638990586500,1930,-1470,314,45638.5390625
1683145638990903800,1930,-1470,-5,45638.55078125
1683145639051594600,1930,-1470,162,45638.55859375
1683145639051658400,1930,-1470,-105,45638.5703125
1683145639051681200,1930,-1470,15,45638.578125
1683145639051692000,1930,-1470,74,45638.58984375
1683145639051846500,1930,-1470,502,45638.6015625
1683145639051952300,1930,-1470,-61,45638.609375
1683145639114285600,1930,-1470,-113,45638.62109375
1683145639114333300,1930,-1470,-377,45638.62890625
1683145639114401300,1930,-1470,7,45638.640625
1683145639114550200,1930,-1470,-145,45638.6484375
1683145639114615400,1930,-1470,-25,45638.66015625
1683145639114690300,1930,-1470,210,45638.671875
1683145639175482800,1930,-1470,-133,45638.6796875
1683145639175531000,1930,-1470,-209,45638.69140625
1683145639175575600,1930,-1471,502,45638.69921875
1683145639175650700,1930,-1470,-105,45638.7109375
1683145639175668900,1930,-1470,-49,45638.71875
1683145639176177500,1930,-1470,-197,45638.73046875
1683145639238179500,1930,-1470,594,45638.7421875
1683145639238231900,1930,-1470,-269,45638.75
1683145639238338800,1930,-1470,54,45638.76171875
1683145639238374500,1930,-1470,-45,45638.76953125
1683145639238682700,1930,-1470,-369,45638.78125
1683145639238729400,1930,-1470,-61,45638.7890625
1683145639297727000,1930,-1470,11,45638.80078125
1683145639297751000,1930,-1470,7,45638.80859375
1683145639297754200,1930,-1470,-457,45638.8203125
1683145639297757200,1930,-1470,-281,45638.828125
1683145639297865800,1930,-1470,-1265,45638.83984375
1683145639298193700,1930,-1470,70,45638.8515625
1683145639344786200,1930,-1470,-97,45638.859375
1683145639344898600,1930,-1470,314,45638.87109375
1683145639344930700,1930,-1470,-261,45638.87890625
1683145639345017800,1930,-1470,222,45638.890625
1683145639345111600,1930,-1470,-329,45638.8984375
1683145639391421000,1930,-1470,234,45638.91015625
1683145639391439100,1930,-1470,-425,45638.921875
1683145639391442800,1930,-1470,-21,45638.9296875
1683145639391445900,1930,-1470,-89,45638.94140625
1683145639391450400,1930,-1470,-9,45638.94921875
1683145639437719300,1929,-1472,-153,45638.9609375
1683145639438019600,1934,-1479,70,45638.96875
1683145639438053000,1944,-1489,-409,45638.98046875
1683145639438307100,1955,-1500,-33,45638.98828125
1683145639483707900,1982,-1527,50,45639.00390625
1683145639483733800,1991,-1534,-93,45639.01171875
1683145639483737400,2009,-1547,-105,45639.01953125
1683145639483740700,2034,-1552,-761,45639.03125
1683145639483744200,2050,-1551,158,45639.0390625
1683145639545461700,2047,-1551,-97,45639.05078125
1683145639545538300,2048,-1551,-733,45639.05859375
1683145639545621200,2051,-1547,258,45639.07421875
1683145639545655900,2056,-1543,-225,45639.078125
1683145639545938000,2054,-1544,-129,45639.08984375
1683145639546161600,2055,-1539,174,45639.10546875
1683145639608157500,2057,-1538,326,45639.109375
1683145639608309500,2057,-1539,-197,45639.12109375
1683145639608402100,2057,-1538,-245,45639.12890625
1683145639608409900,2060,-1536,94,45639.140625
1683145639608782400,2069,-1535,62,45639.1484375
1683145639608901400,2073,-1535,-449,45639.16015625
1683145639669525600,2077,-1535,462,45639.171875
1683145639669644500,2080,-1535,-449,45639.1796875
1683145639669998200,2079,-1535,338,45639.19140625
1683145639670007800,2079,-1536,-125,45639.19921875
