%time,field.curr_pos1,field.curr_pos2,field.toff,field.motor_fail,field.t
1685049528453949500,-207,78,249360,0,49528.51953125
1685049528453978800,-207,78,245040,0,49528.52734375
1685049528454066000,-207,78,245440,0,49528.5390625
1685049528454154400,-207,78,247920,0,49528.55078125
1685049528507531400,-207,78,247440,0,49528.55859375
1685049528507547300,-207,78,243760,0,49528.5703125
1685049528507570900,-207,78,247120,0,49528.578125
1685049528507590300,-207,78,249280,0,49528.58984375
1685049528507773400,-207,78,246240,0,49528.59765625
1685049528554794000,-207,78,245280,0,49528.609375
1685049528554817700,-207,78,251120,0,49528.6171875
1685049528554824200,-207,78,247360,0,49528.62890625
1685049528554831100,-207,78,253040,0,49528.640625
1685049528554834900,-207,78,253360,0,49528.6484375
1685049528602679500,-207,78,243280,0,49528.66015625
1685049528602711100,-207,78,209440,0,49528.66796875
1685049528602745200,-207,78,248000,0,49528.6796875
1685049528602808300,-207,78,249240,0,49528.6875
1685049528654046500,-207,78,246400,0,49528.69921875
1685049528654322000,-207,78,250160,0,49528.7109375
1685049528654397700,-207,78,241840,0,49528.71875
1685049528654405000,-207,78,247280,0,49528.73046875
1685049528654644600,-207,78,258960,0,49528.73828125
1685049528654668800,-207,78,246560,0,49528.75
1685049528705753900,-207,78,299920,0,49528.7578125
1685049528706028800,-207,78,238040,0,49528.76953125
1685049528706058600,-207,78,248240,0,49528.77734375
1685049528706173600,-207,78,251440,0,49528.7890625
1685049528706190200,-208,78,257960,0,49528.80078125
1685049528767300000,-222,80,252960,0,49528.80859375
1685049528767332200,-246,95,256640,0,49528.8203125
1685049528767342400,-273,123,252320,0,49528.828125
1685049528767351100,-305,159,252720,0,49528.83984375
1685049528767703500,-340,196,254081,0,49528.84765625
1685049528820663400,-375,222,256320,0,49528.859375
1685049528820683800,-408,237,239400,0,49528.8671875
1685049528820970800,-440,242,255680,0,49528.87890625
1685049528820987600,-465,240,250640,0,49528.890625
1685049528820992900,-478,229,229440,0,49528.8984375
1685049528821005700,-483,214,258920,0,49528.91015625
1685049528872286700,-483,205,249000,0,49528.91796875
1685049528872300800,-481,207,241360,0,49528.9296875
1685049528872542000,-482,214,239240,0,49528.9375
1685049528872576900,-483,222,254000,0,49528.94921875
1685049528872585700,-481,233,254080,0,49528.9609375
1685049528925177500,-478,240,249760,0,49528.96875
1685049528925188000,-477,242,253200,0,49528.98046875
1685049528925196400,-477,242,254960,0,49528.98828125
1685049528925338100,-478,242,247760,0,49529.00390625
1685049528925406000,-477,242,247520,0,49529.01953125
1685049528972873900,-477,242,248000,0,49529.0234375
1685049528972890900,-477,242,255520,0,49529.03125
1685049528972918700,-477,242,262000,0,49529.0390625
1685049528972939200,-478,242,241840,0,49529.05078125
1685049528972952300,-477,242,246000,0,49529.05859375
1685049528973211200,-477,242,246400,0,49529.0703125
1685049529021892100,-478,242,244560,0,49529.078125
1685049529021918300,-478,242,246480,0,49529.08984375
1685049529021929100,-478,242,244960,0,49529.09765625
1685049529022274900,-478,242,244000,0,49529.109375
1685049529069035100,-478,242,241120,0,49529.1171875
1685049529069052700,-478,242,232880,0,49529.12890625
1685049529069062600,-478,242,244800,0,49529.140625
1685049529069083100,-478,242,243920,0,49529.1484375
1685049529069179400,-478,242,245680,0,49529.16015625
1685049529118760300,-479,242,249280,0,49529.16796875
1685049529119097700,-480,242,240720,0,49529.1796875
1685049529119117100,-481,242,244920,0,49529.1875
1685049529119124200,-480,242,246160,0,49529.19921875
1685049529119127800,-480,242,243360,0,49529.2109375
1685049529170933900,-481,242,243760,0,49529.21875
1685049529170946300,-480,242,244080,0,49529.23046875
1685049529170969700,-480,242,249200,0,49529.23828125
1685049529170979400,-480,242,246160,0,49529.25
1685049529171038800,-480,242,244920,0,49529.2578125
1685049529221634900,-480,242,246480,0,49529.26953125
1685049529221912100,-480,242,246640,0,49529.27734375
1685049529221922200,-480,242,224040,0,49529.2890625
1685049529221925500,-480,242,247920,0,49529.30078125
1685049529221928100,-480,242,249680,0,49529.30859375
1685049529270516600,-480,242,246640,0,49529.3203125
1685049529270526800,-480,242,247000,0,49529.328125
1685049529270641500,-480,242,244320,0,49529.33984375
1685049529270647400,-480,242,244480,0,49529.34765625
1685049529270661400,-480,242,245760,0,49529.359375
1685049529320231200,-480,242,244880,0,49529.3671875
1685049529320239700,-480,242,244560,0,49529.37890625
1685049529320244200,-480,242,257680,0,49529.390625
1685049529320479300,-480,242,247240,0,49529.3984375
1685049529320492300,-480,242,248400,0,49529.41015625
1685049529369743500,-480,242,255920,0,49529.41796875
1685049529369762600,-480,242,254240,0,49529.4296875
1685049529369864100,-480,242,251680,0,49529.4375
