%time,field.curr_pos1,field.curr_pos2,field.toff,field.motor_fail,field.t
1684875391988595000,233,241,250000,0,75392.34375
1684875391988672600,233,241,250680,0,75392.3515625
1684875391988698200,233,241,250560,0,75392.359375
1684875391988716300,233,241,250240,0,75392.3671875
1684875391988758000,233,241,250440,0,75392.3828125
1684875392038544500,233,241,251600,0,75392.390625
1684875392038610500,233,241,250000,0,75392.3984375
1684875392038624100,233,241,250400,0,75392.40625
1684875392038636500,233,241,251200,0,75392.421875
1684875392038777100,233,241,253440,0,75392.4296875
1684875392090568500,233,241,247720,0,75392.4375
1684875392090661200,233,241,249680,0,75392.453125
1684875392090706600,233,241,249600,0,75392.4609375
1684875392090733800,233,241,251200,0,75392.46875
1684875392090747800,233,241,250080,0,75392.4765625
1684875392143889300,233,241,249920,0,75392.4921875
1684875392143945500,233,241,236640,0,75392.5
1684875392143959700,233,241,249920,0,75392.5078125
1684875392143982600,233,241,250480,0,75392.5234375
1684875392144049100,233,241,252760,0,75392.53125
1684875392192596800,233,241,249680,0,75392.5390625
1684875392192664800,233,241,250640,0,75392.546875
1684875392192680600,233,241,254480,0,75392.5625
1684875392193166300,233,241,247120,0,75392.5703125
1684875392193219700,233,241,249920,0,75392.578125
1684875392193550200,233,241,251041,0,75392.59375
1684875392244233900,233,241,251121,0,75392.6015625
1684875392244310900,233,241,249840,0,75392.609375
1684875392244328100,233,241,250800,0,75392.6171875
1684875392244336400,233,241,250960,0,75392.6328125
1684875392292280700,233,241,248400,0,75392.640625
1684875392292343500,233,241,251119,0,75392.6484375
1684875392292451400,233,241,251120,0,75392.65625
1684875392292818100,233,241,250000,0,75392.671875
1684875392292868000,233,241,251520,0,75392.6796875
1684875392344914900,233,241,252720,0,75392.6875
1684875392344974600,233,241,247520,0,75392.703125
1684875392345084000,233,241,250360,0,75392.7109375
1684875392345532500,233,241,251400,0,75392.71875
1684875392345579400,233,241,243440,0,75392.7265625
1684875392395674700,233,241,242240,0,75392.7421875
1684875392395727500,233,241,250960,0,75392.75
1684875392395917300,233,241,251280,0,75392.7578125
1684875392395943500,233,241,251040,0,75392.7734375
1684875392396085300,233,241,251360,0,75392.78125
1684875392445303800,233,241,249840,0,75392.7890625
1684875392445369100,233,241,251520,0,75392.796875
1684875392445385500,233,241,249600,0,75392.8125
1684875392445402400,233,241,253320,0,75392.8203125
1684875392445417300,233,241,248800,0,75392.828125
1684875392493372400,233,241,253120,0,75392.84375
1684875392493434200,233,241,251080,0,75392.8515625
1684875392493450700,233,241,250080,0,75392.859375
1684875392493465600,233,241,250720,0,75392.8671875
1684875392493778600,233,241,251200,0,75392.8828125
1684875392493819500,233,241,250160,0,75392.890625
1684875392541921900,233,241,250800,0,75392.8984375
1684875392541989000,233,241,250800,0,75392.90625
