%time,field.accel_x,field.accel_y,field.accel_z,field.gyro_x,field.gyro_y,field.gyro_z,field.state,field.swing_time,Time ms
1.67607E+18,-1.298095703,-0.470458984,0.120361328,5.175572519,2.435114504,9.190839695,0,0,8922.660096
1.67607E+18,-1.23046875,-0.353271484,-0.055175781,5.801526718,2.427480916,9.770992366,0,0,8922.67008
1.67607E+18,-1.142578125,-0.25390625,-0.134521484,7.007633588,1.984732824,10.45801527,0,0,8922.729984
1.67607E+18,-1.271728516,-0.281494141,-0.161865234,7.641221374,1.885496183,10.97709924,0,0,8922.770176
1.67607E+18,-1.226806641,-0.358886719,-0.199462891,7.885496183,2.038167939,11.51145038,0,0,8970.729984
1.67607E+18,-1.172119141,-0.352050781,-0.255859375,7.839694656,2.083969466,12.04580153,0,0,8970.760192
1.67607E+18,-1.116943359,-0.329345703,-0.307373047,7.610687023,1.961832061,12.70229008,0,0,8970.760192
1.67607E+18,-1.079589844,-0.256835938,-0.304199219,7.183206107,1.770992366,13.3740458,0,0,8970.800128
1.67607E+18,-1.075683594,-0.160644531,-0.252441406,6.541984733,1.65648855,14.02290076,0,0,9030.480128
1.67607E+18,-1.082519531,-0.091308594,-0.217773438,6.458015267,1.885496183,14.35114504,0,0,9030.500096
1.67607E+18,-1.138916016,0.0234375,-0.187988281,5.312977099,1.984732824,14.80916031,0,0,9030.530048
1.67607E+18,-1.0859375,0.065185547,-0.208984375,5.076335878,2.114503817,15.04580153,0,0,9030.540032
1.67607E+18,-0.976806641,0.154785156,-0.234619141,5,2.022900763,15.28244275,0,0,9030.569984
1.67607E+18,-0.916992188,0.209228516,-0.249755859,5.290076336,1.732824427,15.32824427,0,0,9030.590208
1.67607E+18,-0.890625,0.305664063,-0.257080078,5.93129771,1.435114504,15.25954198,0,0,9075.500032
1.67607E+18,-0.863037109,0.40234375,-0.242431641,7.198473282,1.129770992,14.95419847,0,0,9075.52
1.67607E+18,-0.875732422,0.450439453,-0.236083984,8.374045802,0.916030534,14.49618321,0,0,9075.539968
1.67607E+18,-0.899169922,0.490234375,-0.241943359,10.16793893,0.648854962,13.48091603,0,0,9075.560192
1.67607E+18,-0.922607422,0.569091797,-0.11328125,11.7480916,0.824427481,11.9389313,0,0,9075.590144
1.67607E+18,-0.983886719,0.592773438,-0.079589844,13.29770992,1.396946565,9.954198473,0,0,9120.370176
1.67607E+18,-0.891845703,0.397705078,-0.054931641,13.92366412,1.664122137,9.748091603,0,0,9120.390144
1.67607E+18,-0.811035156,0.294677734,-0.06640625,14.28244275,1.702290076,6.007633588,0,0,9120.400128
1.67607E+18,-0.672119141,-0.004638672,-0.077636719,13.6870229,0.572519084,5.152671756,0,0,9120.410112
1.67607E+18,-0.646484375,0.294433594,-0.228515625,14.55725191,0.015267176,4.709923664,0,0,9120.460032
1.67607E+18,-0.677734375,0.371582031,-0.095703125,15.95419847,0.145038168,3.145038168,0,0,9174.900224
1.67607E+18,-0.677978516,0.064208984,0.046386719,14.98473282,0.549618321,0.572519084,0,0,9174.920192
