%time,field.mx,field.my,field.fz
1676072642879588200,-22.0,8.0,-188.16
1676072642879663200,-24.0,8.0,-194.04
1676072642879669400,-21.0,9.0,-197.96
1676072642924874600,-21.0,9.0,-197.96
1676072642924913900,-20.0,10.0,-194.04
1676072642924958300,-20.0,8.0,-188.16
1676072642985318800,-25.0,7.0,-190.12
1676072642985343600,-23.0,8.0,-194.04
1676072642985354900,-21.0,9.0,-197.96
1676072642985361300,-20.0,8.0,-188.16
1676072642985378500,-23.0,8.0,-194.04
1676072642985384500,-21.0,9.0,-196.0
1676072643030152200,-20.0,10.0,-192.07999999999998
1676072643030185300,-22.0,8.0,-188.16
1676072643030203600,-23.0,9.0,-196.0
1676072643030214400,-21.0,10.0,-197.96
1676072643078443700,-20.0,11.0,-196.0
1676072643078458800,-23.0,9.0,-196.0
1676072643078471500,-20.0,11.0,-196.0
1676072643078479900,-20.0,11.0,-188.16
1676072643078484800,-20.0,12.0,-194.04
1676072643138199800,-25.0,9.0,-192.07999999999998
1676072643138206300,-22.0,10.0,-196.0
1676072643138275500,-22.0,10.0,-197.96
1676072643138285300,-25.0,8.0,-190.12
1676072643138294500,-22.0,10.0,-196.0
1676072643185279700,-20.0,11.0,-194.04
1676072643185287000,-20.0,9.0,-188.16
1676072643185290900,-25.0,8.0,-190.12
1676072643185296500,-22.0,10.0,-197.96
1676072643185309900,-20.0,10.0,-196.0
1676072643230237300,-21.0,9.0,-188.16
1676072643230292600,-21.0,10.0,-197.96
1676072643230300800,-19.0,12.0,-190.12
1676072643230321300,-25.0,8.0,-190.12
1676072643301877700,-20.0,12.0,-192.07999999999998
1676072643355927000,-19.0,10.0,-188.16
1676072643355942100,-25.0,8.0,-190.12
1676072643355946500,-22.0,9.0,-196.0
1676072643355988100,-20.0,10.0,-196.0
1676072643355992800,-24.0,9.0,-194.04
1676072643356013300,-20.0,10.0,-197.96
1676072643356020100,-25.0,7.0,-188.16
1676072643356044200,-22.0,9.0,-196.0
1676072643356065800,-20.0,10.0,-194.04
1676072643406287500,-23.0,8.0,-194.04
1676072643475525200,-20.0,10.0,-196.0
1676072643475546600,-20.0,9.0,-188.16
1676072643475589700,-25.0,7.0,-190.12
1676072643475598900,-23.0,9.0,-194.04
1676072643475604200,-22.0,9.0,-196.0
1676072643475650800,-19.0,10.0,-190.12
1676072643475662600,-19.0,11.0,-190.12
1676072643475711900,-24.0,8.0,-192.07999999999998
1676072643475718100,-22.0,9.0,-196.0
1676072643475761200,-20.0,10.0,-196.0
1676072643527084000,-23.0,8.0,-188.16
1676072643527106100,-24.0,9.0,-194.04
1676072643527113100,-22.0,9.0,-188.16
1676072643527118500,-24.0,8.0,-188.16
1676072643527122700,-22.0,9.0,-196.0
1676072643573016800,-20.0,10.0,-197.96
1676072643573023300,-20.0,10.0,-196.0
1676072643573031800,-22.0,9.0,-196.0
1676072643573088800,-21.0,8.0,-186.2
1676072643573094600,-23.0,8.0,-194.04
1676072643620620500,-20.0,10.0,-197.96
1676072643620746000,-19.0,10.0,-188.16
1676072643620758200,-21.0,10.0,-197.96
1676072643620766900,-20.0,8.0,-188.16
