%time,field.mode,field.duration,field.motor1_move,field.motor2_move,field.motor1_torque,field.motor2_torque,field.PF_cmd,field.EV_cmd,field.PF_curr,field.EV_curr,field.CPU0,field.CPU1,field.CPU2,field.CPU3,field.t,field.valid
1683919320642119500,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,66.69999694824219,25.0,0.0,19321.048828125,0.0
1683919320642138800,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,66.69999694824219,25.0,0.0,19321.05859375,0.0
1683919320642214600,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,66.69999694824219,25.0,0.0,19321.068359375,0.0
1683919320689833100,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,66.69999694824219,25.0,0.0,19321.078125,0.0
1683919320689886400,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,66.69999694824219,25.0,0.0,19321.087890625,0.0
1683919320689917500,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,66.69999694824219,25.0,0.0,19321.09765625,0.0
1683919320689972900,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,66.69999694824219,25.0,0.0,19321.109375,0.0
1683919320690024900,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,66.69999694824219,25.0,0.0,19321.119140625,0.0
1683919320737849700,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,66.69999694824219,25.0,0.0,19321.12890625,0.0
1683919320737870700,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,66.69999694824219,25.0,0.0,19321.138671875,0.0
1683919320737949600,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,33.29999923706055,33.29999923706055,0.0,19321.1484375,0.0
1683919320737959900,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,33.29999923706055,33.29999923706055,0.0,19321.158203125,0.0
1683919320737996200,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,33.29999923706055,33.29999923706055,0.0,19321.16796875,0.0
1683919320786266500,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,33.29999923706055,33.29999923706055,0.0,19321.177734375,0.0
1683919320786279300,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,33.29999923706055,33.29999923706055,0.0,19321.189453125,0.0
