%time,field.mx,field.my,field.fz,
1.67608E+18,-47,-1,-182.28,5205.460224
1.67608E+18,-42,2,-184.24,5205.480192
1.67608E+18,-40,-1,-182.28,5205.480192
1.67608E+18,-35,1,-182.28,5205.490176
1.67608E+18,-34,7,-186.2,5205.520128
1.67608E+18,-35,9,-186.2,5205.55008
1.67608E+18,-39,9,-188.16,5205.560064
1.67608E+18,-42,10,-190.12,5205.609984
1.67608E+18,-43,14,-190.12,5205.620224
1.67608E+18,-44,17,-194.04,5205.630208
1.67608E+18,-42,20,-196,5205.66016
1.67608E+18,-37,24,-196,5205.700096
1.67608E+18,-34,27,-197.96,5205.71008
1.67608E+18,-34,26,-201.88,5205.730048
1.67608E+18,-32,28,-201.88,5205.77024
1.67608E+18,-29,30,-207.76,5205.780224
1.67608E+18,-28,32,-209.72,5376.690176
1.67608E+18,-24,33,-213.64,5376.70016
1.67608E+18,-21,27,-217.56,5376.720128
1.67608E+18,-12,33,-207.76,5376.740096
1.67608E+18,14,-19,-160.72,5376.8
1.67608E+18,-2,-63,-150.92,5376.809984
1.67608E+18,-29,21,-166.6,5376.840192
1.67608E+18,-36,51,-176.4,5376.840192
1.67608E+18,-40,60,-180.32,5376.91008
1.67608E+18,-43,67,-170.52,5376.920064
1.67608E+18,-64,56,-158.76,5376.930048
1.67608E+18,-82,-15,-117.6,5376.940032
1.67608E+18,-42,-99,-37.24,5376.950016
1.67608E+18,-12,-132,101.92,5376.980224
1.67608E+18,46,-188,305.76,5377.02016
1.67608E+18,118,-136,399.84,5377.02016
1.67608E+18,152,-71,395.92,5377.050112
1.67608E+18,146,-89,401.8,5377.060096
1.67608E+18,135,-170,454.72,5377.080064
1.67608E+18,137,-250,531.16,5377.090048
1.67608E+18,150,-249,568.4,5554.760192
1.67608E+18,184,-217,591.92,5554.770176
1.67608E+18,213,-202,646.8,5554.810112
1.67608E+18,232,-172,684.04,5554.820096
1.67608E+18,236,-129,687.96,5554.850048
1.67608E+18,226,-67,674.24,5554.920192
1.67608E+18,233,16,662.48,5554.930176
1.67608E+18,257,77,662.48,5554.950144
1.67608E+18,284,128,648.76,5554.960128
1.67608E+18,303,177,625.24,5554.970112
1.67608E+18,302,214,595.84,5555.020032
1.67608E+18,286,239,562.52,5555.030016
1.67608E+18,278,265,511.56,5555.080192
1.67608E+18,288,297,468.44,5555.10016
1.67608E+18,287,310,441,5731.770112
1.67608E+18,286,323,411.6,5731.810048
1.67608E+18,288,341,380.24,5731.830016
1.67608E+18,287,360,354.76,5731.84
1.67608E+18,286,379,337.12,5731.910144
1.67608E+18,283,402,317.52,5731.920128
1.67608E+18,281,429,305.76,5731.940096
1.67608E+18,279,456,299.88,5731.980032
1.67608E+18,276,484,297.92,5731.980032
1.67608E+18,275,518,303.8,5732.030208
1.67608E+18,276,554,311.64,5732.06016
1.67608E+18,277,595,321.44,5732.070144
1.67608E+18,282,642,331.24,5732.090112
1.67608E+18,286,691,339.08,5732.100096
1.67608E+18,296,744,348.88,5732.130048
1.67608E+18,308,799,356.72,5732.140032
1.67608E+18,323,851,362.6,5732.150016
1.67608E+18,344,903,366.52,5732.180224
1.67608E+18,369,955,368.48,5732.210176
1.67608E+18,395,1006,364.56,5732.210176
1.67608E+18,416,1057,356.72,5857.240064
1.67608E+18,427,1105,341.04,5857.260032
1.67608E+18,424,1151,313.6,5857.270016
1.67608E+18,412,1193,286.16,5857.28
1.67608E+18,400,1224,260.68,5857.28
1.67608E+18,398,1243,250.88,5857.29024
1.67608E+18,392,1251,237.16,5857.29024
1.67608E+18,378,1238,221.48,5857.360128
1.67608E+18,352,1200,197.96,5857.360128
1.67608E+18,317,1132,166.6,5857.39008
1.67608E+18,276,1039,125.44,5857.400064
1.67608E+18,228,934,76.44,5857.420032
1.67608E+18,177,803,27.44,5857.430016
1.67608E+18,132,659,-17.64,5993.110016
1.67608E+18,97,521,-58.8,5993.129984
1.67608E+18,55,396,-96.04,5993.190144
1.67608E+18,7,282,-121.52,5993.200128
1.67608E+18,-36,179,-143.08,5993.200128
1.67608E+18,-74,80,-156.8,5993.210112
1.67608E+18,-76,-7,-160.72,5993.210112
1.67608E+18,-58,-41,-168.56,5993.260032
1.67608E+18,-121,-20,-201.88,5993.260032
1.67608E+18,-169,-109,-203.84,5993.270016
1.67608E+18,-65,-90,-176.4,6091.010048
1.67608E+18,2,-57,-168.56,6091.030016
1.67608E+18,1,-43,-168.56,6091.030016
1.67608E+18,-38,1,-180.32,6091.060224
1.67608E+18,-39,6,-180.32,6091.070208
1.67608E+18,-50,-32,-180.32,6091.070208
1.67608E+18,-47,-2,-180.32,6091.090176
1.67608E+18,-40,7,-182.28,6091.120128
1.67608E+18,-44,3,-186.2,6091.140096
1.67608E+18,-42,1,-188.16,6091.140096
1.67608E+18,-36,-14,-184.24,6091.170048
1.67608E+18,-26,-15,-184.24,6143.550208
1.67608E+18,-23,-7,-184.24,6143.560192
1.67608E+18,-25,-1,-186.2,6143.610112
